Country,Continent,Subcontinent,More Developed Regions,Less Developed Regions,Least developed countries,High-income Countries,Middle-income Countries,Upper-middle-income Countries,Lower-middle-income Countries,Low-income Countries,Sub-Saharan Africa
Burundi,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Comoros,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Djibouti,Africa,Eastern Africa,N,Y,Y,N,Y,N,Y,N,Y
Eritrea,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Ethiopia,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Kenya,Africa,Eastern Africa,N,Y,N,N,Y,N,Y,N,Y
Madagascar,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Malawi,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Mauritius,Africa,Eastern Africa,N,Y,N,N,Y,Y,N,N,Y
Mayotte,Africa,Eastern Africa,N,Y,N,N/A,N/A,N/A,N/A,N/A,Y
Mozambique,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Réunion,Africa,Eastern Africa,N,Y,N,N/A,N/A,N/A,N/A,N/A,Y
Rwanda,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Seychelles,Africa,Eastern Africa,N,Y,N,Y,N,N,N,N,Y
Somalia,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
South Sudan,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Uganda,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
United Republic of Tanzania,Africa,Eastern Africa,N,Y,Y,N,N,N,N,Y,Y
Zambia,Africa,Eastern Africa,N,Y,Y,N,Y,N,Y,N,Y
Zimbabwe,Africa,Eastern Africa,N,Y,N,N,N,N,N,Y,Y
Angola,Africa,Middle Africa,N,Y,Y,N,Y,N,Y,N,Y
Cameroon,Africa,Middle Africa,N,Y,N,N,Y,N,Y,N,Y
Central African Republic,Africa,Middle Africa,N,Y,Y,N,N,N,N,Y,Y
Chad,Africa,Middle Africa,N,Y,Y,N,N,N,N,Y,Y
Congo,Africa,Middle Africa,N,Y,N,N,Y,N,Y,N,Y
Democratic Republic of the Congo,Africa,Middle Africa,N,Y,Y,N,N,N,N,Y,Y
Equatorial Guinea,Africa,Middle Africa,N,Y,N,N,Y,Y,N,N,Y
Gabon,Africa,Middle Africa,N,Y,N,N,Y,Y,N,N,Y
Sao Tome and Principe,Africa,Middle Africa,N,Y,Y,N,Y,N,Y,N,Y
Algeria,Africa,Northern Africa,N,Y,N,N,Y,Y,N,N,N
Egypt,Africa,Northern Africa,N,Y,N,N,Y,N,Y,N,N
Libya,Africa,Northern Africa,N,Y,N,N,Y,Y,N,N,N
Morocco,Africa,Northern Africa,N,Y,N,N,Y,N,Y,N,N
Sudan,Africa,Northern Africa,N,Y,Y,N,Y,N,Y,N,Y
Tunisia,Africa,Northern Africa,N,Y,N,N,Y,N,Y,N,N
Western Sahara,Africa,Northern Africa,N,Y,N,N/A,N/A,N/A,N/A,N/A,N
Botswana,Africa,Southern Africa,N,Y,N,N,Y,Y,N,N,Y
Lesotho,Africa,Southern Africa,N,Y,Y,N,Y,N,Y,N,Y
Namibia,Africa,Southern Africa,N,Y,N,N,Y,Y,N,N,Y
South Africa,Africa,Southern Africa,N,Y,N,N,Y,Y,N,N,Y
Swaziland,Africa,Southern Africa,N,Y,N,N,Y,N,Y,N,Y
Benin,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Burkina Faso,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Cabo Verde,Africa,Western Africa,N,Y,N,N,Y,N,Y,N,Y
Côte d'Ivoire,Africa,Western Africa,N,Y,N,N,Y,N,Y,N,Y
Gambia,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Ghana,Africa,Western Africa,N,Y,N,N,Y,N,Y,N,Y
Guinea,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Guinea-Bissau,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Liberia,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Mali,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Mauritania,Africa,Western Africa,N,Y,Y,N,Y,N,Y,N,Y
Niger,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Nigeria,Africa,Western Africa,N,Y,N,N,Y,N,Y,N,Y
Saint Helena,Africa,Western Africa,N,Y,N,N/A,N/A,N/A,N/A,N/A,Y
Senegal,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Sierra Leone,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Togo,Africa,Western Africa,N,Y,Y,N,N,N,N,Y,Y
Kazakhstan,Asia,Central Asia,N,Y,N,N,Y,Y,N,N,N
Kyrgyzstan,Asia,Central Asia,N,Y,N,N,Y,N,Y,N,N
Tajikistan,Asia,Central Asia,N,Y,N,N,Y,N,Y,N,N
Turkmenistan,Asia,Central Asia,N,Y,N,N,Y,Y,N,N,N
Uzbekistan,Asia,Central Asia,N,Y,N,N,Y,N,Y,N,N
China,Asia,Eastern Asia,N,Y,N,N,Y,Y,N,N,N
"China, Hong Kong SAR",Asia,Eastern Asia,N,Y,N,Y,N,N,N,N,N
"China, Macao SAR",Asia,Eastern Asia,N,Y,N,Y,N,N,N,N,N
Dem. People's Republic of Korea,Asia,Eastern Asia,N,Y,N,N,N,N,N,Y,N
Japan,Asia,Eastern Asia,Y,N,N,Y,N,N,N,N,N
Mongolia,Asia,Eastern Asia,N,Y,N,N,Y,N,Y,N,N
Republic of Korea,Asia,Eastern Asia,N,Y,N,Y,N,N,N,N,N
Afghanistan,Asia,Southern Asia,N,Y,Y,N,N,N,N,Y,N
Bangladesh,Asia,Southern Asia,N,Y,Y,N,Y,N,Y,N,N
Bhutan,Asia,Southern Asia,N,Y,Y,N,Y,N,Y,N,N
India,Asia,Southern Asia,N,Y,N,N,Y,N,Y,N,N
Iran (Islamic Republic of),Asia,Southern Asia,N,Y,N,N,Y,Y,N,N,N
Maldives,Asia,Southern Asia,N,Y,N,N,Y,Y,N,N,N
Nepal,Asia,Southern Asia,N,Y,Y,N,N,N,N,Y,N
Pakistan,Asia,Southern Asia,N,Y,N,N,Y,N,Y,N,N
Sri Lanka,Asia,Southern Asia,N,Y,N,N,Y,N,Y,N,N
Brunei Darussalam,Asia,South-Eastern Asia,N,Y,N,Y,N,N,N,N,N
Cambodia,Asia,South-Eastern Asia,N,Y,Y,N,Y,N,Y,N,N
Indonesia,Asia,South-Eastern Asia,N,Y,N,N,Y,N,Y,N,N
Lao People's Democratic Republic,Asia,South-Eastern Asia,N,Y,Y,N,Y,N,Y,N,N
Malaysia,Asia,South-Eastern Asia,N,Y,N,N,Y,Y,N,N,N
Myanmar,Asia,South-Eastern Asia,N,Y,Y,N,Y,N,Y,N,N
Philippines,Asia,South-Eastern Asia,N,Y,N,N,Y,N,Y,N,N
Singapore,Asia,South-Eastern Asia,N,Y,N,Y,N,N,N,N,N
Thailand,Asia,South-Eastern Asia,N,Y,N,N,Y,Y,N,N,N
Timor-Leste,Asia,South-Eastern Asia,N,Y,Y,N,Y,N,Y,N,N
Viet Nam,Asia,South-Eastern Asia,N,Y,N,N,Y,N,Y,N,N
Armenia,Asia,Western Asia,N,Y,N,N,Y,N,Y,N,N
Azerbaijan,Asia,Western Asia,N,Y,N,N,Y,Y,N,N,N
Bahrain,Asia,Western Asia,N,Y,N,Y,N,N,N,N,N
Cyprus,Asia,Western Asia,N,Y,N,Y,N,N,N,N,N
Georgia,Asia,Western Asia,N,Y,N,N,Y,N,Y,N,N
Iraq,Asia,Western Asia,N,Y,N,N,Y,Y,N,N,N
Israel,Asia,Western Asia,N,Y,N,Y,N,N,N,N,N
Jordan,Asia,Western Asia,N,Y,N,N,Y,N,Y,N,N
Kuwait,Asia,Western Asia,N,Y,N,Y,N,N,N,N,N
Lebanon,Asia,Western Asia,N,Y,N,N,Y,Y,N,N,N
Oman,Asia,Western Asia,N,Y,N,Y,N,N,N,N,N
Qatar,Asia,Western Asia,N,Y,N,Y,N,N,N,N,N
Saudi Arabia,Asia,Western Asia,N,Y,N,Y,N,N,N,N,N
State of Palestine,Asia,Western Asia,N,Y,N,N,Y,N,Y,N,N
Syrian Arab Republic,Asia,Western Asia,N,Y,N,N,Y,N,Y,N,N
Turkey,Asia,Western Asia,N,Y,N,N,Y,Y,N,N,N
United Arab Emirates,Asia,Western Asia,N,Y,N,Y,N,N,N,N,N
Yemen,Asia,Western Asia,N,Y,Y,N,Y,N,Y,N,N
Belarus,Europe,Eastern Europe,Y,N,N,N,Y,Y,N,N,N
Bulgaria,Europe,Eastern Europe,Y,N,N,N,Y,Y,N,N,N
Czechia,Europe,Eastern Europe,Y,N,N,Y,N,N,N,N,N
Hungary,Europe,Eastern Europe,Y,N,N,Y,N,N,N,N,N
Poland,Europe,Eastern Europe,Y,N,N,Y,N,N,N,N,N
Republic of Moldova,Europe,Eastern Europe,Y,N,N,N,Y,N,Y,N,N
Romania,Europe,Eastern Europe,Y,N,N,N,Y,Y,N,N,N
Russian Federation,Europe,Eastern Europe,Y,N,N,N,Y,Y,N,N,N
Slovakia,Europe,Eastern Europe,Y,N,N,Y,N,N,N,N,N
Ukraine,Europe,Eastern Europe,Y,N,N,N,Y,N,Y,N,N
Channel Islands,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Denmark,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Estonia,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Faeroe Islands,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Finland,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Iceland,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Ireland,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Isle of Man,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Latvia,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Lithuania,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Norway,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Sweden,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
United Kingdom,Europe,Northern Europe,Y,N,N,Y,N,N,N,N,N
Albania,Europe,Southern Europe,Y,N,N,N,Y,Y,N,N,N
Andorra,Europe,Southern Europe,Y,N,N,Y,N,N,N,N,N
Bosnia and Herzegovina,Europe,Southern Europe,Y,N,N,N,Y,Y,N,N,N
Croatia,Europe,Southern Europe,Y,N,N,N,Y,Y,N,N,N
Gibraltar,Europe,Southern Europe,Y,N,N,Y,N,N,N,N,N
Greece,Europe,Southern Europe,Y,N,N,Y,N,N,N,N,N
Holy See,Europe,Southern Europe,Y,N,N,N/A,N/A,N/A,N/A,N/A,N
